pm25,carbon 
5.7,0.3
10.5,0.5
11.1,0.5
6.1,0.2
8.2,0.3
4.6,0.2
7.7,0.3
9.5,0.4
6.4,0.2
5.7,0.2
6.3,0.2
5.9,0.2
7.2,0.3
9.4,0.3
13.7,0.2
6.9,0.3
6.1,0.2
8.7,0.2
4.7,0.2
6.4,0.3
10.5,0.4
7.6,0.4
7.9,0.2
9.5,0.2
8.9,0.2
6.9,0.2
5.8,0.2
5.7,0.2
7.3,0.3
8.1,0.4
6.4,0.3
6.2,0.2
6.7,0.2
9.6,0.3
12,0.4
8.1,0.3
7.1,0.2
8.1,0.2
10.1,0.2
8.9,0.2
13.5,0.3
9.4,0.3
17.5,0.2
19.2,0.2
5.4,0.2
8.3,0.4
9.9,0.3
14.3,0.2
11.1,0.2
13.9,0.2
21.6,0.2
6.5,0.2
9,0.3
9.3,0.4
11,0.4
10,0.3
8.9,0.3
9.7,0.3
11.4,0.3
7.1,0.2
7.7,0.2
11.6,0.2
20.6,0.2
7,0.2
6.5,0.3
6.2,0.3
6.1,0.3
9.5,0.3
7.1,0.2
7.1,0.3
7.7,0.2
7.7,0.1
7.9,0.1
6.6,0.2
7.5,0.2
6.6,0.2
6.8,0.2
9.7,0.3
16.6,0.3
7.6,0.3
12.7,0.3
8.2,0.3
7.6,0.3
8,0.2
6.8,0.3
7.3,0.3
8.9,0.3
5.8,0.2
6.7,0.2
6.7,0.2
8.2,0.2
8.1,0.2
6.2,0.3
7.8,0.3
6.6,0.3
7,0.3
5.6,0.3
6.3,0.3
8.3,0.2
25.2,0.2
6.5,0.2
8.1,0.4
6.7,0.4
11.4,0.3
11.7,0.2
6.2,0.2
7.7,0.2
5.6,0.2
5.3,0.2
5.3,0.2
8.8,0.4
11,0.3
11.7,0.3
7.5,0.3
6.2,0.3
7,0.2
10.6,0.3
13.1,0.3
13.4,0.4
11.1,0.3
12.4,0.2
11,0.3
9.9,0.2
9.8,0.4
10.7,0.4
8.2,0.2
7.2,0.4
9.5,0.4
5.3,0.3
5.4,0.3
5.4,0.3
6.3,0.3
34.6,0.3
6.4,0.2
8.1,0.3
6.6,0.3
5.7,0.3
10.6,0.5
6.1,0.3
10.8,0.3
7.8,0.3
5.8,0.4
9.6,0.3
7.1,0.2
8,0.3
4.7,0.3
4.4,0.3
6.1,0.3
7.6,0.3
7.8,0.4
6.5,0.2
6,0.3
7.7,0.3
6.7,0.2
4.7,0.3
5.8,0.3
6.5,0.4
6.1,0.3
5.9,0.2
7.6,0.2
5.3,0.3
6.6,0.3
6.7,0.3
6.5,0.3
5.3,0.3
6,0.3
8.7,0.4
7.4,0.3
7.8,0.2
11.4,0.2
6.4,0.2
6.6,0.3
22.2,0.2
10.1,0.2
17.5,0.2
11,0.3
7.9,0.4
5.8,0.3
22.6,0.3
11.8,0.2
8.8,0.2
5.7,0.3
15.1,0.3
11.7,0.3
3.6,0.7
4.9,0.8
3.5,0.7
4.1,0.1
3.3,0.1
4.3,0.1
3.5,0.1
6,0.1
5.1,0.1
5.4,0.2
4.6,0.2
5.4,0.1
5.4,0.1
4.2,0.1
5.1,0.1
5.4,0.1
4.8,0
4.8,0
5.1,0
7.1,0.1
5.7,0.1
5.8,0.1
5,0.1
8.1,0.1
8.1,0.2
7.3,0.1
7.1,0.1
7.3,0.1
5.4,0.1
8.9,0.1
6.6,0.2
4.8,0.1
8.6,0.1
8.2,0.2
7.6,0.1
5.9,0.2
4.8,0.1
4.8,0.1
4.6,0.1
4.5,0.1
4.9,0.1
5.5,0.1
8.2,0.2
5.8,0.1
4.6,0.1
4.3,0.1
5.3,0.2
4.4,0.1
4.9,0.1
5.8,0.1
6.4,0.2
8.1,0.2
7.7,0.1
4.6,0.1
3.9,0.1
4.6,0.1
8.6,0.1
9.4,0.3
16.8,0.5
6.4,0.2
7,0.2
10.5,0.4
11.1,0.3
12.3,0.2
8.8,0.1
7.4,0.1
7.3,0.1
12.6,0.1
9.8,0.1
6.6,0.2
54.8,0.2
6.2,0.2
9.1,0.2
7.1,0.2
9,0.3
8.6,0.1
9.2,0.1
10.8,0.1
8,0.1
5.5,0.1
6.1,0.1
8,0.1
8.5,0.3
8.2,0.2
12.2,0.1
15.1,0.2
10.3,0.2
10.6,0.2
11.2,0.2
9.9,0.2
6.9,0.2
6.6,0.1
4.5,0.1
4.6,0.1
7.1,0.1
10,0.1
6.1,0.2
6.3,0.2
10.7,0.2
9.6,0.2
9.4,0.2
5.9,0.1
9.3,0.1
4.1,0.1
4.3,0.2
7,0.1
5.6,0.1
10.1,0.2
6.8,0.1
7.3,0.2
5.2,0.2
13.1,0.1
12.9,0.1
3.3,0.1
3.6,0.2
3.6,0.2
5.4,0.2
14.9,0.1
8.2,0.1
6.8,0.2
13.6,0.3
16.1,0.2
11,0.2
12.9,0.1
8.1,0.1
7.4,0.1
7.5,0.1
7.2,0.1
9.8,0.2
8.5,0.2
8.3,0.1
6.4,0.1
8.8,0.1
7.4,0.1
9.7,0.2
8.2,0.1
7.7,0.1
14.1,0.2
6.5,0.1
6.6,0.1
8.8,0.2
10.5,0.2
9,0.1
7.1,0.1
11.3,0.2
10.1,0.1
9.2,0.1
