radiation,carbon 
0.352,0.3
0.356,0.5
0.361,0.5
0.369,0.2
0.315,0.3
0.299,0.2
0.333,0.3
0.278,0.4
0.37,0.2
0.302,0.2
0.196,0.2
0.338,0.2
0.371,0.3
0.353,0.3
0.351,0.2
0.323,0.3
0.325,0.2
0.395,0.2
0.377,0.2
0.411,0.3
0.396,0.4
0.381,0.4
0.359,0.2
0.305,0.2
0.351,0.2
0.092,0.2
0.386,0.2
0.422,0.2
0.429,0.3
0.433,0.4
0.405,0.3
0.381,0.2
0.443,0.2
0.45,0.3
0.441,0.4
0.419,0.3
0.362,0.2
0.373,0.2
0.448,0.2
0.376,0.2
0.454,0.3
0.454,0.3
0.437,0.2
0.441,0.2
0.477,0.2
0.478,0.4
0.424,0.3
0.447,0.2
0.47,0.2
0.423,0.2
0.476,0.2
0.475,0.2
0.301,0.3
0.479,0.4
0.477,0.4
0.419,0.3
0.446,0.3
0.242,0.3
0.453,0.3
0.488,0.2
0.455,0.2
0.306,0.2
0.434,0.2
0.51,0.2
0.509,0.3
0.508,0.3
0.509,0.3
0.465,0.3
0.502,0.2
0.507,0.3
0.514,0.2
0.512,0.1
0.463,0.1
0.458,0.2
0.516,0.2
0.522,0.2
0.52,0.2
0.523,0.3
0.523,0.3
0.532,0.3
0.502,0.3
0.438,0.3
0.502,0.3
0.52,0.2
0.523,0.3
0.535,0.3
0.423,0.3
0.526,0.2
0.538,0.2
0.533,0.2
0.53,0.2
0.535,0.2
0.347,0.3
0.287,0.3
0.355,0.3
0.34,0.3
0.355,0.3
0.361,0.3
0.24,0.2
0.108,0.2
0.304,0.2
0.145,0.4
0.126,0.4
0.225,0.3
0.351,0.2
0.394,0.2
0.313,0.2
0.161,0.2
0.393,0.2
0.294,0.2
0.398,0.4
0.385,0.3
0.36,0.3
0.375,0.3
0.393,0.3
0.422,0.2
0.408,0.3
0.363,0.3
0.325,0.4
0.417,0.3
0.436,0.2
0.353,0.3
0.425,0.2
0.402,0.4
0.432,0.4
0.434,0.2
0.378,0.4
0.356,0.4
0.427,0.3
0.455,0.3
0.458,0.3
0.456,0.3
0.36,0.3
0.459,0.2
0.21,0.3
0.419,0.3
0.47,0.3
0.466,0.5
0.449,0.3
0.372,0.3
0.477,0.3
0.484,0.4
0.461,0.3
0.486,0.2
0.316,0.3
0.416,0.3
0.48,0.3
0.489,0.3
0.44,0.3
0.489,0.4
0.497,0.2
0.448,0.3
0.497,0.3
0.508,0.2
0.457,0.3
0.507,0.3
0.507,0.4
0.51,0.3
0.495,0.2
0.385,0.2
0.459,0.3
0.462,0.3
0.346,0.3
0.442,0.3
0.247,0.3
0.417,0.3
0.513,0.4
0.506,0.3
0.484,0.2
0.524,0.2
0.523,0.2
0.455,0.3
0.299,0.2
0.521,0.2
0.514,0.2
0.516,0.3
0.527,0.4
0.507,0.3
0.4,0.3
0.52,0.2
0.529,0.2
0.533,0.3
0.501,0.3
0.48,0.3
0.184,0.7
0.202,0.8
0.099,0.7
0.442,0.1
0.422,0.1
0.471,0.1
0.461,0.1
0.467,0.1
0.472,0.1
0.48,0.2
0.475,0.2
0.384,0.1
0.485,0.1
0.489,0.1
0.483,0.1
0.498,0.1
0.491,0
0.496,0
0.499,0
0.497,0.1
0.5,0.1
0.457,0.1
0.505,0.1
0.497,0.1
0.466,0.2
0.446,0.1
0.504,0.1
0.51,0.1
0.523,0.1
0.51,0.1
0.511,0.2
0.523,0.1
0.481,0.1
0.495,0.2
0.384,0.1
0.421,0.2
0.525,0.1
0.524,0.1
0.45,0.1
0.526,0.1
0.531,0.1
0.533,0.1
0.529,0.2
0.516,0.1
0.534,0.1
0.543,0.1
0.544,0.2
0.541,0.1
0.52,0.1
0.533,0.1
0.529,0.2
0.538,0.2
0.515,0.1
0.525,0.1
0.527,0.1
0.534,0.1
0.354,0.1
0.366,0.3
0.35,0.5
0.358,0.1
0.374,0.2
0.368,0.2
0.362,0.4
0.318,0.3
0.286,0.2
0.383,0.1
0.384,0.1
0.337,0.1
0.372,0.1
0.392,0.1
0.398,0.2
0.294,0.2
0.408,0.2
0.402,0.2
0.403,0.2
0.406,0.3
0.267,0.1
0.391,0.1
0.413,0.1
0.331,0.1
0.416,0.1
0.429,0.1
0.39,0.1
0.431,0.3
0.413,0.2
0.44,0.1
0.436,0.2
0.391,0.2
0.417,0.2
0.447,0.2
0.446,0.2
0.412,0.2
0.393,0.1
0.471,0.1
0.427,0.1
0.468,0.1
0.471,0.1
0.421,0.2
0.444,0.2
0.466,0.2
0.385,0.2
0.265,0.2
0.26,0.1
0.4,0.1
0.454,0.1
0.481,0.2
0.492,0.1
0.485,0.1
0.42,0.2
0.491,0.1
0.496,0.2
0.493,0.2
0.436,0.1
0.405,0.1
0.352,0.1
0.137,0.2
0.328,0.2
0.507,0.2
0.458,0.1
0.517,0.1
0.512,0.2
0.474,0.3
0.49,0.2
0.478,0.2
0.525,0.1
0.53,0.1
0.502,0.1
0.53,0.1
0.489,0.1
0.501,0.2
0.463,0.2
0.44,0.1
0.541,0.1
0.524,0.1
0.491,0.1
0.456,0.2
0.533,0.1
0.376,0.1
0.526,0.2
0.537,0.1
0.514,0.1
0.542,0.2
0.448,0.2
0.372,0.1
0.549,0.1
0.54,0.2
0.513,0.1
0.536,0.1
