radiation,ozone
0.362,22
0.362,26
0.336,29
0.342,17
0.268,19
0.243,38
0.316,30
0.234,37
0.357,26
0.387,22
0.377,28
0.374,37
0.395,41
0.377,32
0.398,33
0.398,22
0.403,27
0.41,33
0.4,35
0.397,36
0.41,27
0.389,40
0.397,43
0.422,21
0.425,35
0.426,43
0.427,44
0.396,31
0.374,39
0.342,39
0.375,36
0.305,38
0.443,33
0.449,28
0.449,21
0.434,33
0.361,36
0.173,19
0.359,38
0.458,35
0.446,35
0.465,39
0.306,30
0.466,28
0.468,24
0.435,41
0.459,46
0.475,34
0.412,39
0.477,31
0.485,34
0.478,42
0.386,47
0.459,39
0.487,38
0.472,41
0.482,46
0.49,37
0.491,40
0.492,46
0.493,43
0.484,39
0.493,35
0.494,44
0.501,49
0.468,48
0.492,44
0.506,49
0.508,49
0.511,41
0.517,39
0.519,37
0.463,37
0.491,48
0.35,45
0.436,43
0.445,31
0.422,33
0.338,28
0.463,32
0.51,33
0.514,42
0.486,43
0.506,39
0.474,43
0.51,38
0.5,42
0.515,43
0.523,35
0.481,37
0.36,33
0.404,33
0.327,30
0.326,31
0.217,41
0.328,30
0.304,28
0.341,30
0.35,29
0.335,26
0.311,17
0.349,21
0.335,28
0.344,33
0.356,29
0.362,28
0.356,25
0.344,30
0.369,28
0.363,27
0.366,35
0.359,30
0.37,27
0.38,27
0.327,36
0.385,44
0.371,36
0.386,
0.389,43
0.332,43
0.273,37
0.402,32
0.317,50
0.279,45
0.408,42
0.412,44
0.415,51
0.418,42
0.335,25
0.432,23
0.437,33
0.393,37
0.427,38
0.409,43
0.423,38
0.416,39
0.406,36
0.448,37
0.443,37
0.45,42
0.429,33
0.454,32
0.493,35
0.465,45
0.449,41
0.451,43
0.457,46
0.421,47
0.455,49
0.441,42
0.382,34
0.312,45
0.475,38
0.495,36
0.488,34
0.478,39
0.48,44
0.48,40
0.408,36
0.479,40
0.458,42
0.465,43
0.437,47
0.479,43
0.477,48
0.479,49
0.445,46
0.469,39
0.357,44
0.487,44
0.466,45
0.505,41
0.502,56
0.49,49
0.469,44
0.492,41
0.424,43
0.453,36
0.495,32
0.502,27
0.502,46
0.486,50
0.425,49
0.393,44
0.352,32
0.356,25
0.361,22
0.369,35
0.315,31
0.299,32
0.333,38
0.278,25
0.37,32
0.302,39
0.196,38
0.338,39
0.371,36
0.353,40
0.351,35
0.323,33
0.325,32
0.395,42
0.377,38
0.411,33
0.396,21
0.381,19
0.359,23
0.305,23
0.351,24
0.092,33
0.386,40
0.422,39
0.429,33
0.433,24
0.405,34
0.381,38
0.443,41
0.45,36
0.441,34
0.419,27
0.362,41
0.373,33
0.448,36
0.376,43
0.454,45
0.454,36
0.437,41
0.441,53
0.477,39
0.478,31
0.424,39
0.447,47
0.47,49
0.423,50
0.476,48
0.475,51
0.301,36
0.479,33
0.477,26
0.419,39
0.446,46
0.242,46
0.453,45
0.488,40
0.455,43
0.306,45
0.434,47
0.51,45
0.509,41
0.508,51
0.509,51
0.465,36
0.502,35
0.507,37
0.514,32
0.512,36
0.463,31
0.458,29
0.516,21
0.522,26
0.52,29
0.523,36
0.523,47
0.532,46
0.502,51
0.438,47
0.502,50
0.52,49
0.523,43
0.535,34
0.423,32
0.526,39
0.538,43
0.533,39
0.53,38
0.535,33
0.347,31
0.287,35
0.355,31
0.34,30
0.355,32
0.361,32
0.24,30
0.108,35
0.304,40
0.145,28
0.126,21
0.225,34
0.351,48
0.394,50
0.313,41
0.161,40
0.393,41
0.294,40
0.398,32
0.385,35
0.36,40
0.375,35
0.393,33
0.422,39
0.408,38
0.363,41
0.325,31
0.417,37
0.436,39
0.353,37
0.425,40
0.402,41
0.432,28
0.434,43
0.378,30
0.356,25
0.427,35
0.455,33
0.458,33
0.456,40
0.36,50
0.459,41
0.21,33
0.419,38
0.47,34
0.466,33
0.449,43
0.372,43
0.477,36
0.484,42
0.461,37
0.486,37
0.316,38
0.416,41
0.48,44
0.489,38
0.44,45
0.489,38
0.497,41
0.448,38
0.497,35
0.508,35
0.457,34
0.507,37
0.507,35
0.51,40
0.495,40
0.385,36
0.459,41
0.462,46
0.346,31
0.442,34
0.247,39
0.417,39
0.513,34
0.506,43
0.484,43
0.524,43
0.523,48
0.455,45
0.299,50
0.521,49
0.514,45
0.516,40
0.527,32
0.507,26
0.4,36
0.52,40
0.529,41
0.533,42
0.501,42
0.48,45
0.184,26
0.202,21
0.099,29
0.295,35
0.369,23
0.366,36
0.356,31
0.141,24
0.366,21
0.263,13
0.299,12
0.151,23
0.29,24
0.395,31
0.255,23
0.403,21
0.129,21
0.119,18
0.382,37
0.4,26
0.365,35
0.404,31
0.42,33
0.431,34
0.422,30
0.276,27
0.283,39
0.44,39
0.321,29
0.44,40
0.403,30
0.369,38
0.453,42
0.309,32
0.435,37
0.454,37
0.294,37
0.459,32
0.442,33
0.422,35
0.471,33
0.461,41
0.467,42
0.472,41
0.476,39
0.48,42
0.475,44
0.384,37
0.485,40
0.489,41
0.483,41
0.498,42
0.491,45
0.496,41
0.499,42
0.497,44
0.5,42
0.457,39
0.505,41
0.497,47
0.466,45
0.446,38
0.504,38
0.51,42
0.523,43
0.51,47
0.511,50
0.523,51
0.481,51
0.495,55
0.384,46
0.421,50
0.525,44
0.524,42
0.45,40
0.526,42
0.531,44
0.533,41
0.529,36
0.516,43
0.534,42
0.543,45
0.544,43
0.541,44
0.52,44
0.533,46
0.529,45
0.538,38
0.515,50
0.525,49
0.527,47
0.534,51
0.354,37
0.366,29
0.35,18
0.358,34
0.374,34
0.368,42
0.362,37
0.318,20
0.286,28
0.383,36
0.384,31
0.337,30
0.372,40
0.392,43
0.398,40
0.294,38
0.408,36
0.402,32
0.403,42
0.406,32
0.267,27
0.391,45
0.413,42
0.331,41
0.416,34
0.429,39
0.39,35
0.431,33
0.413,32
0.44,41
0.436,37
0.391,45
0.417,46
0.447,42
0.446,43
0.412,38
0.393,41
0.471,42
0.427,39
0.468,45
0.471,43
0.421,36
0.444,30
0.466,44
0.385,39
0.265,37
0.26,40
0.4,36
0.454,39
0.481,39
0.492,38
0.485,38
0.42,37
0.491,43
0.496,38
0.493,34
0.436,45
0.405,41
0.352,41
0.137,37
0.328,44
0.507,34
0.458,43
0.517,48
0.512,39
0.474,45
0.49,37
0.478,39
0.525,38
0.53,42
0.502,30
0.53,32
0.489,34
0.501,41
0.463,45
0.44,37
0.541,39
0.524,42
0.491,46
0.456,38
0.533,39
0.376,35
0.526,33
0.537,36
0.514,33
0.542,35
0.448,30
0.372,30
0.549,37
0.54,41
0.513,44
0.536,43
