radiation,wind
0.362,5
0.362,8.2
0.336,5.5
0.342,4.1
0.268,4
0.243,8.8
0.316,9.1
0.234,5.6
0.357,4.7
0.387,4.7
0.377,4.4
0.374,12
0.395,10.1
0.377,9.1
0.398,6.6
0.398,4.5
0.403,5.4
0.41,6.8
0.4,12.4
0.397,9.3
0.41,5.9
0.389,10.4
0.397,13.3
0.422,3.9
0.425,7.9
0.426,8.3
0.427,6.3
0.396,7
0.374,9.6
0.342,11.1
0.375,7.5
0.305,6.5
0.443,5.8
0.449,3.6
0.449,3.5
0.434,7
0.361,5.6
0.173,4.7
0.359,7.3
0.458,4.8
0.446,10.2
0.465,8.8
0.306,7.4
0.466,4.2
0.468,4.2
0.435,9.9
0.459,11.6
0.475,4.6
0.412,8.2
0.477,4.4
0.485,5.9
0.478,6.3
0.386,11
0.459,7
0.487,9.8
0.472,10.7
0.482,12.3
0.49,6.6
0.491,8.3
0.492,11.2
0.493,5.9
0.484,12.5
0.493,8.8
0.494,7.3
0.501,8
0.468,9.9
0.492,8.8
0.506,8.1
0.508,9.6
0.511,10.5
0.517,7.7
0.519,5.8
0.463,8
0.491,7.6
0.35,10.1
0.436,8.4
0.445,9.6
0.422,10.5
0.338,11.8
0.463,4.7
0.51,5.7
0.514,6.4
0.486,8.6
0.506,7.9
0.474,7.9
0.51,8.2
0.5,10.1
0.515,6.4
0.523,4.3
0.481,5.9
0.36,6.3
0.404,6.1
0.327,5.2
0.326,6.5
0.217,10.5
0.328,5.7
0.304,7.3
0.341,10.8
0.35,4.7
0.335,3.7
0.311,3.4
0.349,3.8
0.335,7
0.344,9.5
0.356,6.9
0.362,4.9
0.356,4.8
0.344,7
0.369,5.1
0.363,3.5
0.366,5
0.359,5.1
0.37,4.9
0.38,5.6
0.327,13
0.385,11.6
0.371,6.5
0.386,9.2
0.389,7.1
0.332,10
0.273,7.6
0.402,6.8
0.317,12.9
0.279,6.1
0.408,8
0.412,9.6
0.415,12.6
0.418,6
0.335,4.6
0.432,5.1
0.437,8.7
0.393,9.8
0.427,4.3
0.409,9.2
0.423,9.5
0.416,6.6
0.406,5.9
0.448,6.5
0.443,5.9
0.45,6.2
0.429,6.3
0.454,8.8
0.493,6.8
0.465,7.9
0.449,12.1
0.451,9.8
0.457,11
0.421,15.2
0.455,9.5
0.441,11.7
0.382,12.2
0.312,8.2
0.475,7.1
0.495,5.6
0.488,6.6
0.478,7.2
0.48,10.6
0.48,6.8
0.408,8.7
0.479,8.2
0.458,8.8
0.465,10.9
0.437,10.6
0.479,6.7
0.477,7.4
0.479,6.6
0.445,7.9
0.469,8.8
0.357,12.3
0.487,10.3
0.466,10.3
0.505,8.2
0.502,7.4
0.49,7.9
0.469,7.2
0.492,7.8
0.424,7.7
0.453,10
0.495,9.8
0.502,8.8
0.502,9.2
0.486,10.8
0.425,8.3
0.393,7.1
0.352,6.7
0.356,5.1
0.361,5.2
0.369,8.6
0.315,4.6
0.299,5.5
0.333,6.8
0.278,4.1
0.37,7.5
0.302,10.6
0.196,11.5
0.338,8.8
0.371,8.2
0.353,9.2
0.351,11.6
0.323,6.4
0.325,6.9
0.395,13
0.377,6.7
0.411,4.6
0.396,4.5
0.381,4.9
0.359,8.8
0.305,9
0.351,8.4
0.092,7
0.386,6.9
0.422,8.1
0.429,5.6
0.433,4.2
0.405,6
0.381,7
0.443,9.3
0.45,8.2
0.441,8.8
0.419,5.2
0.362,8.2
0.373,7.7
0.448,13.2
0.376,6.8
0.454,8.4
0.454,8.1
0.437,11.8
0.441,15.6
0.477,6.4
0.478,3.8
0.424,7
0.447,11
0.47,6.5
0.423,12.9
0.476,12.4
0.475,7.4
0.301,6.4
0.479,4.2
0.477,4.1
0.419,11
0.446,8
0.242,10.8
0.453,6.3
0.488,7.4
0.455,8.5
0.306,6.5
0.434,10.9
0.51,6.5
0.509,5.1
0.508,5.6
0.509,6.3
0.465,5.1
0.502,6.8
0.507,5.4
0.514,6.1
0.512,10.2
0.463,8.6
0.458,6.9
0.516,5
0.522,5.7
0.52,4.9
0.523,7.6
0.523,8.1
0.532,5.4
0.502,9.7
0.438,10.3
0.502,6.2
0.52,6.9
0.523,5
0.535,5.3
0.423,5.8
0.526,6.9
0.538,6.7
0.533,6.1
0.53,7.5
0.535,5.2
0.347,7
0.287,8.8
0.355,7.7
0.34,11.2
0.355,10.6
0.361,7.6
0.24,8.9
0.108,9.6
0.304,7.6
0.145,5.3
0.126,8
0.225,12.2
0.351,15.9
0.394,9.9
0.313,14.2
0.161,9.8
0.393,7.8
0.294,8.3
0.398,4.2
0.385,10.4
0.36,9.9
0.375,7.8
0.393,6
0.422,8.1
0.408,5.2
0.363,9.7
0.325,5.9
0.417,7.5
0.436,11.7
0.353,12.1
0.425,13.5
0.402,5.6
0.432,7
0.434,11.2
0.378,5
0.356,5.6
0.427,6.9
0.455,7.5
0.458,5.2
0.456,9.4
0.36,17.2
0.459,11.7
0.21,5.2
0.419,7.3
0.47,5.8
0.466,5.1
0.449,8.8
0.372,13.3
0.477,6.3
0.484,6.3
0.461,8.7
0.486,8.8
0.316,6.9
0.416,8.9
0.48,6.7
0.489,5.7
0.44,8
0.489,6.5
0.497,6.7
0.448,6.5
0.497,8.8
0.508,7
0.457,5.4
0.507,6.1
0.507,5
0.51,5.7
0.495,7.9
0.385,9.3
0.459,10.9
0.462,7.4
0.346,12.9
0.442,6.3
0.247,6.8
0.417,4.7
0.513,4.1
0.506,5.9
0.484,7.8
0.524,10.7
0.523,10.4
0.455,5.4
0.299,13
0.521,11.2
0.514,9.5
0.516,8.2
0.527,4.5
0.507,6.2
0.4,9.6
0.52,9.4
0.529,8.5
0.533,6.3
0.501,7.7
0.48,9
0.184,7.9
0.202,5.1
0.099,7.9
0.295,6.3
0.369,5.2
0.366,10.7
0.356,6.6
0.141,6.3
0.366,4.6
0.263,4.5
0.299,4.6
0.151,5.5
0.29,8
0.395,4.3
0.255,4.6
0.403,4
0.129,7.2
0.119,6.6
0.382,9.7
0.4,7.9
0.365,9.2
0.404,5.2
0.42,8
0.431,7
0.422,6.3
0.276,8.9
0.283,15.3
0.44,7.3
0.321,4.7
0.44,8.8
0.403,3.7
0.369,8.1
0.453,9.6
0.309,5.4
0.435,6.8
0.454,5.6
0.294,6.9
0.459,6.7
0.442,5.4
0.422,7.1
0.471,5.3
0.461,8.7
0.467,13.1
0.472,10.4
0.476,5.5
0.48,6.5
0.475,7.2
0.384,5.6
0.485,9
0.489,9.2
0.483,7.2
0.498,8.9
0.491,8.8
0.496,8.7
0.499,7.3
0.497,7.3
0.5,6.1
0.457,7.2
0.505,7.7
0.497,10.5
0.466,5.4
0.446,7.4
0.504,6.9
0.51,7.3
0.523,8.3
0.51,10.2
0.511,6.3
0.523,8.8
0.481,12.9
0.495,5.9
0.384,7
0.421,5.7
0.525,7.1
0.524,8.4
0.45,7.3
0.526,7.3
0.531,7.2
0.533,5.4
0.529,5
0.516,9.8
0.534,9
0.543,8.4
0.544,5.9
0.541,8.4
0.52,9
0.533,8.4
0.529,6.4
0.538,5.7
0.515,7.5
0.525,9.1
0.527,8.9
0.534,9
0.354,9.3
0.366,5.2
0.35,4.3
0.358,12.5
0.374,7.3
0.368,9.7
0.362,5.1
0.318,5.1
0.286,7.2
0.383,9.7
0.384,5.7
0.337,7.5
0.372,13.8
0.392,13.8
0.398,7.6
0.294,11.9
0.408,9.1
0.402,9.1
0.403,9.4
0.406,6.5
0.267,6.8
0.391,12.1
0.413,7.8
0.331,10.6
0.416,7
0.429,8.1
0.39,6.6
0.431,4.7
0.413,6.4
0.44,9.5
0.436,10
0.391,12.4
0.417,7.5
0.447,7.4
0.446,5.6
0.412,7.3
0.393,11.3
0.471,7.1
0.427,9.6
0.468,8.5
0.471,8.3
0.421,6.3
0.444,6
0.466,11.8
0.385,7.3
0.265,9.2
0.26,6.3
0.4,14.4
0.454,12
0.481,5.3
0.492,7.8
0.485,13.2
0.42,8.8
0.491,10.3
0.496,5.4
0.493,6.7
0.436,9
0.405,10.5
0.352,8.5
0.137,6.7
0.328,6.5
0.507,4.9
0.458,11.3
0.517,10.3
0.512,6.4
0.474,4.8
0.49,8.1
0.478,6.3
0.525,9.2
0.53,8.3
0.502,9.1
0.53,8.2
0.489,11
0.501,9.6
0.463,8.1
0.44,7.4
0.541,8
0.524,9.6
0.491,7.6
0.456,5.5
0.533,6.2
0.376,6.4
0.526,6.9
0.537,6.3
0.514,5.2
0.542,5.5
0.448,5.1
0.372,4.9
0.549,5.9
0.54,7.4
0.513,7.6
0.536,7.9
