sulfur,nitrogen
0.4,15.9
0.7,15.8
0.7,18.9
1.3,31.8
1.2,26.1
0.9,3.2
1,7.4
1,7.4
0.9,11.3
1,18.1
1.3,22.8
1,8
0.7,4.7
0.8,6.9
0.8,9.2
1,18.4
0.8,13
0.8,8.7
0.6,1.7
0.2,7.7
0.9,17.5
0.5,6.4
0.4,5.1
0.5,20.8
0.6,10.4
0.5,5.1
0.5,8.2
0.7,12.1
0.7,5.5
0.7,4.6
0.7,8.8
0.5,6.2
0.5,9
0.8,14.6
1.2,24.9
1.1,16.6
0.8,17
1.3,28.8
0.9,6.4
1,12.4
0.5,3
0.4,2.9
0.4,6.2
0.5,13.4
0.9,22.6
0.7,4.3
0.6,2.1
0.6,9.2
0.6,7.2
0.6,14.6
1.2,17.1
0.7,13.7
0.6,6.1
0.6,6.5
0.6,3.1
0.6,4.3
0.6,5.6
0.7,12.4
0.7,6.7
0.6,5.9
0.7,8.2
0.4,1.4
0.3,6
0.4,7
0.3,8.3
0.5,8.4
0.6,9.1
0.4,8.5
0.5,4.5
0.5,6.3
0.4,9.8
0.4,14.3
0.4,11.4
0.5,6.2
0.4,4.6
0.7,1.2
0.7,1.5
0.7,3.3
0.7,1
1.1,10.2
1.1,14.7
0.8,5
0.8,4.3
0.8,7.2
0.6,8.5
0.3,11.3
0.8,
0.9,16.2
1.1,23.3
0.7,6
0.7,4.5
1,9
0.7,14.3
0.4,11.1
0.6,6.6
0.9,16.8
0.9,6.3
0.9,4.1
0.9,17.2
1.1,26
1.3,28.6
1.1,24.3
0.9,15.1
0.7,7.5
0.7,16.8
0.6,12.7
0.7,16.4
0.6,11.9
0.6,14.2
1.2,23.4
0.5,8.8
0.4,12.4
0.6,16.1
0.8,16
0.7,6.4
0.2,2.2
0.4,8.2
0.1,8.3
0.2,9.1
0.1,7.9
-0.1,5.2
0.2,11.7
0.2,3.9
0.2,6.9
0.3,4
0.5,5
0.4,4.9
0.4,15.2
0.7,26.7
0.7,21.4
0.4,6.9
0.2,4.5
0.2,12.2
0.3,4.7
0.3,4.3
0.3,11
0.4,10.2
0.4,12
0.8,9.4
0.7,11.7
0.9,15
0.9,10
0.8,12.7
0.8,11.8
0.6,3.5
0.6,5.2
0.8,2.9
0.9,1.8
0.7,5.7
0.9,4.3
0.9,2
0.6,3.6
0.3,5.2
0.5,11.9
0.6,15.4
0.5,10.4
0.3,4.5
0.9,12.1
0.6,6.3
0.2,4.2
0.2,4.5
0.1,3.8
0,5.1
0,9.8
0.1,7.5
0.4,9.1
0.3,5
0.3,6
0.2,3.9
0.2,5.4
0.3,5.1
0.2,8.4
0.1,3.1
0.5,2.5
0.5,8.5
0.6,9.8
0.6,8.6
0.6,4.6
0.3,3.9
0.2,7.7
0.1,1.6
0.1,2.5
0.2,6.9
-0.1,10.3
