sulfur,pm25
0.4,8.5
0.7,10.1
0.7,9.9
1.3,13.4
1.2,12.8
0.9,7.8
1,10
1,12
0.9,8.5
1,8.5
1.3,11.2
1,13.4
0.7,7.9
0.8,9.3
0.8,10.7
1,10.6
0.8,8.8
0.8,8.8
0.6,9.8
0.2,7
0.9,9.3
0.5,18.1
0.4,14.5
0.5,8.8
0.6,7.8
0.5,9.1
0.5,9.9
0.7,11.4
0.7,22.5
0.7,10.3
0.7,8.5
0.5,6.5
0.5,6
0.8,8.4
1.2,12
1.1,10.7
0.8,11.5
1.3,12
0.9,7.5
1,7.1
0.5,10.1
0.4,3.5
0.4,6
0.5,5.4
0.9,8.1
0.7,14.5
0.6,7
0.6,5.6
0.6,7.3
0.6,6.7
1.2,6.9
0.7,7.6
0.6,9.5
0.6,6.8
0.6,8.6
0.6,18.8
0.6,10.3
0.7,8.6
0.7,10.9
0.6,7.7
0.7,6.4
0.4,9.2
0.3,6.4
0.4,7.6
0.3,5.6
0.5,6.3
0.6,16.3
0.4,9.3
0.5,8
0.5,7.7
0.4,7
0.4,7.6
0.4,11.1
0.5,11.7
0.4,8.7
0.7,7.9
0.7,15.1
0.7,7.4
0.7,5
1.1,6.8
1.1,8
0.8,6.6
0.8,8.9
0.8,9.6
0.6,11.6
0.3,11.5
0.8,10.6
0.9,10.5
1.1,12.1
0.7,10.4
0.7,9.3
1,6.6
0.7,5.8
0.4,3.9
0.6,4.7
0.9,9.4
0.9,9.2
0.9,7
0.9,7.4
1.1,15.8
1.3,12.8
1.1,10.2
0.9,10.5
0.7,7.6
0.7,7.8
0.6,7.1
0.7,7.4
0.6,6.7
0.6,7.3
1.2,12.3
0.5,8.8
0.4,9.2
0.6,8.4
0.8,8.4
0.7,32.7
0.2,6.8
0.4,7.2
0.1,7
0.2,6
0.1,8.6
-0.1,4.2
0.2,4.6
0.2,43.2
0.2,15.2
0.3,7.2
0.5,8.5
0.4,19.2
0.4,13.4
0.7,17.6
0.7,17.1
0.4,10.2
0.2,14.2
0.2,14.1
0.3,11.1
0.3,9.5
0.3,6.2
0.4,6.3
0.4,5.7
0.8,6.3
0.7,6.5
0.9,7.2
0.9,6.8
0.8,6.3
0.8,5.1
0.6,5.9
0.6,4.3
0.8,9
0.9,21.3
0.7,4.5
0.9,9.4
0.9,10.1
0.6,4.6
0.3,3.3
0.5,4.8
0.6,4.9
0.5,5
0.3,4.1
0.9,5.2
0.6,7.2
0.2,4.6
0.2,6.2
0.1,5.8
0,4.8
0,5.8
0.1,4
0.4,6
0.3,5.1
0.3,5.3
0.2,18.4
0.2,5.1
0.3,5.9
0.2,4.2
0.1,4.6
0.5,9
0.5,7
0.6,7.4
0.6,6
0.6,8.5
0.3,9
0.2,7.4
0.1,5.8
0.1,8.2
0.2,13.4
-0.1,13.3
