sulfur,radiation
0.4,0.362
0.7,0.362
0.7,0.336
1.3,0.342
1.2,0.268
0.9,0.243
1,0.316
1,0.234
0.9,0.357
1,0.387
1.3,0.377
1,0.374
0.7,0.395
0.8,0.377
0.8,0.398
1,0.398
0.8,0.403
0.8,0.41
0.6,0.4
0.2,0.397
0.9,0.41
0.5,0.389
0.4,0.397
0.5,0.422
0.6,0.425
0.5,0.426
0.5,0.427
0.7,0.396
0.7,0.374
0.7,0.342
0.7,0.375
0.5,0.305
0.5,0.443
0.8,0.449
1.2,0.449
1.1,0.434
0.8,0.361
1.3,0.173
0.9,0.359
1,0.458
0.5,0.446
0.4,0.465
0.4,0.306
0.5,0.466
0.9,0.468
0.7,0.435
0.6,0.459
0.6,0.475
0.6,0.412
0.6,0.477
1.2,0.485
0.7,0.478
0.6,0.386
0.6,0.459
0.6,0.487
0.6,0.472
0.6,0.482
0.7,0.49
0.7,0.491
0.6,0.492
0.7,0.493
0.4,0.484
0.3,0.493
0.4,0.494
0.3,0.501
0.5,0.468
0.6,0.492
0.4,0.506
0.5,0.508
0.5,0.511
0.4,0.517
0.4,0.519
0.4,0.463
0.5,0.491
0.4,0.35
0.7,0.436
0.7,0.445
0.7,0.422
0.7,0.338
1.1,0.463
1.1,0.51
0.8,0.514
0.8,0.486
0.8,0.506
0.6,0.474
0.3,0.51
0.8,0.5
0.9,0.515
1.1,0.523
0.7,0.481
0.7,0.36
1,0.404
0.7,0.327
0.4,0.326
0.6,0.217
0.9,0.328
0.9,0.304
0.9,0.341
0.9,0.35
1.1,0.335
1.3,0.311
1.1,0.349
0.9,0.335
0.7,0.344
0.7,0.356
0.6,0.362
0.7,0.356
0.6,0.344
0.6,0.369
1.2,0.363
0.5,0.366
0.4,0.359
0.6,0.37
0.8,0.38
0.7,0.327
0.2,0.385
0.4,0.371
0.1,0.386
0.2,0.389
0.1,0.332
-0.1,0.273
0.2,0.402
0.2,0.317
0.2,0.279
0.3,0.408
0.5,0.412
0.4,0.415
0.4,0.418
0.7,0.335
0.7,0.432
0.4,0.437
0.2,0.393
0.2,0.427
0.3,0.409
0.3,0.423
0.3,0.416
0.4,0.406
0.4,0.448
0.8,0.443
0.7,0.45
0.9,0.429
0.9,0.454
0.8,0.493
0.8,0.465
0.6,0.449
0.6,0.451
0.8,0.457
0.9,0.421
0.7,0.455
0.9,0.441
0.9,0.382
0.6,0.312
0.3,0.475
0.5,0.495
0.6,0.488
0.5,0.478
0.3,0.48
0.9,0.48
0.6,0.408
0.2,0.479
0.2,0.458
0.1,0.465
0,0.437
0,0.479
0.1,0.477
0.4,0.479
0.3,0.445
0.3,0.469
0.2,0.357
0.2,0.487
0.3,0.466
0.2,0.505
0.1,0.502
0.5,0.49
0.5,0.469
0.6,0.492
0.6,0.424
0.6,0.453
0.3,0.495
0.2,0.502
0.1,0.502
0.1,0.486
0.2,0.425
-0.1,0.393
