temp,carbon 
48.6,0.3
57.1,0.5
61.8,0.5
62.7,0.2
53.8,0.3
53.5,0.2
58,0.3
62.9,0.4
66.1,0.2
65.3,0.2
54.2,0.2
53.8,0.2
59,0.3
63.2,0.3
66.9,0.2
60.5,0.3
64.6,0.2
59.6,0.2
53.7,0.2
58.4,0.3
66.3,0.4
72.5,0.4
73.5,0.2
67.9,0.2
69.6,0.2
63.5,0.2
59.1,0.2
55.7,0.2
63.2,0.3
66.7,0.4
70.3,0.3
73,0.2
71.3,0.2
69.2,0.3
64.1,0.4
71.1,0.3
72.9,0.2
73.5,0.2
76.9,0.2
73.3,0.2
68.1,0.3
77.8,0.3
77,0.2
60.3,0.2
56.7,0.2
64.9,0.4
72.6,0.3
73.4,0.2
68.1,0.2
70.6,0.2
67.1,0.2
63.3,0.2
66.5,0.3
73.7,0.4
77.6,0.4
65,0.3
69.8,0.3
66.4,0.3
73.6,0.3
78,0.2
75.2,0.2
73.1,0.2
71.7,0.2
65.7,0.2
69.6,0.3
74.1,0.3
78.4,0.3
82.4,0.3
85.7,0.2
85,0.3
86.1,0.2
84.2,0.1
81,0.1
79.4,0.2
79.7,0.2
82.1,0.2
82.7,0.2
84.6,0.3
78.6,0.3
76.6,0.3
77.8,0.3
77.1,0.3
79.5,0.3
80.7,0.2
82,0.3
84.2,0.3
86.4,0.3
84.5,0.2
81.6,0.2
83.4,0.2
85.8,0.2
87.4,0.2
63.4,0.3
65.3,0.3
64.1,0.3
45.9,0.3
48.8,0.3
58.9,0.3
68.6,0.2
63.2,0.2
53.7,0.2
58.6,0.4
62.4,0.4
58.3,0.3
49.9,0.2
50.7,0.2
47.8,0.2
44.6,0.2
53.4,0.2
55,0.2
56.9,0.4
58.3,0.3
60.7,0.3
61.9,0.3
59.8,0.3
64.4,0.2
65.9,0.3
70.8,0.3
72,0.4
72.3,0.3
69.4,0.2
58.9,0.3
50.9,0.2
55.3,0.4
65.1,0.4
67.6,0.2
65.5,0.4
65.6,0.4
64.4,0.3
68.2,0.3
73.4,0.3
77.8,0.3
70.5,0.3
57.6,0.2
55.2,0.3
54,0.3
62.2,0.3
72.3,0.5
72.2,0.3
60.2,0.3
65.6,0.3
71,0.4
76.4,0.3
74.9,0.2
68.6,0.3
64.6,0.3
65.6,0.3
74.4,0.3
79.4,0.3
79.3,0.4
78,0.2
76.6,0.3
72.3,0.3
72.2,0.2
73.8,0.3
75.5,0.3
75.6,0.4
78.5,0.3
77.3,0.2
71.5,0.2
66.9,0.3
67,0.3
58.3,0.3
62.9,0.3
63.3,0.3
65.3,0.3
74,0.4
79.1,0.3
81.6,0.2
75.1,0.2
69.9,0.2
74.6,0.3
68.2,0.2
64.9,0.2
76.1,0.2
74.3,0.3
74.4,0.4
80.7,0.3
80.2,0.3
77.3,0.2
72.4,0.2
73.7,0.3
75.1,0.3
77.5,0.3
59.4,0.7
59.1,0.8
50,0.7
69.5,0.1
70.2,0.1
66.5,0.1
62.7,0.1
59.2,0.1
64.4,0.1
61.2,0.2
68.5,0.2
69,0.1
69.4,0.1
66.2,0.1
69.5,0.1
72.5,0.1
68.2,0
71.3,0
75.8,0
72.7,0.1
78,0.1
80.1,0.1
79.4,0.1
75,0.1
78.3,0.2
83.3,0.1
81.9,0.1
81.8,0.1
81.1,0.1
75.7,0.1
80.4,0.2
85.2,0.1
71.7,0.1
74.7,0.2
74.9,0.1
75.4,0.2
77.8,0.1
77.6,0.1
75.5,0.1
77.4,0.1
78.6,0.1
83.2,0.1
85.3,0.2
84.9,0.1
78.1,0.1
75.1,0.1
77.5,0.2
78.7,0.1
77.5,0.1
73.7,0.1
74.9,0.2
84.1,0.2
86.6,0.1
82.7,0.1
82.2,0.1
81.2,0.1
46.3,0.1
47.1,0.3
56.6,0.5
62.5,0.1
56.1,0.2
55,0.2
58.9,0.4
65.5,0.3
68.6,0.2
63.4,0.1
62.1,0.1
66.3,0.1
51.3,0.1
48.6,0.1
57.5,0.2
56.7,0.2
52,0.2
57.4,0.2
61.7,0.2
66.1,0.3
67.9,0.1
58.3,0.1
56.1,0.1
48.2,0.1
52.2,0.1
59.8,0.1
55.5,0.1
59.5,0.3
66.1,0.2
70.8,0.1
59.6,0.2
60.5,0.2
70.3,0.2
72.7,0.2
72.7,0.2
75.5,0.2
73.5,0.1
70,0.1
73.1,0.1
72.8,0.1
70,0.1
72.1,0.2
74.6,0.2
66.5,0.2
68.8,0.2
72.2,0.2
66.2,0.1
54.6,0.1
52.9,0.1
60,0.2
66,0.1
59.1,0.1
65.4,0.2
66,0.1
69.5,0.2
76,0.2
75.7,0.1
69.2,0.1
59,0.1
51.5,0.2
61.6,0.2
69,0.2
77.2,0.1
72.1,0.1
66.8,0.2
75.1,0.3
79.3,0.2
80.2,0.2
77.6,0.1
76,0.1
77.3,0.1
77.1,0.1
68.1,0.1
71.3,0.2
76.8,0.2
78.8,0.1
78.6,0.1
75.5,0.1
72.7,0.1
77.4,0.2
81.7,0.1
79.5,0.1
83.4,0.2
80.1,0.1
79.3,0.1
79.9,0.2
82.1,0.2
82.1,0.1
82.5,0.1
83,0.2
81.4,0.1
79.5,0.1
